ID,Name,Source,Type,Qualité,URL
82437,Grande robe de dérègle-sort,Couture,Armures en tissu,Épique,https://www.wowhead.com/mop-classic/fr/item=82437
 95416, Golem céleste,Ingénierie, Monture,Épique,https://www.wowhead.com/mop-classic/fr/item= 95416
 82446, Sacoche royale,Couture, Sac,Épique,https://www.wowhead.com/mop-classic/fr/item= 82446
 87559, Calligraphie supérieure d’aile de grue,Fabriqué, Amélioration d'objet permanente,Épique,https://www.wowhead.com/mop-classic/fr/item= 87559
 74248, Cristal sha,Fabriqué, Enchantement,Épique,https://www.wowhead.com/mop-classic/fr/item= 74248
 82975, Cuirasse de saccageur fantôme,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 82975
 79334, Eventail de jade calligraphié,Calligraphie, Accessoire pour main gauche,Épique,https://www.wowhead.com/mop-classic/fr/item= 79334
 82438, Gants de dérègle-sort,Couture, Armures en tissu,Épique,https://www.wowhead.com/mop-classic/fr/item= 82438
 79335, Eventail rouge calligraphié,Calligraphie, Accessoire pour main gauche,Épique,https://www.wowhead.com/mop-classic/fr/item= 79335
 82453, Panthère d'onyx ornée de joyaux,Joaillerie, Monture,Épique,https://www.wowhead.com/mop-classic/fr/item= 82453
 85823, Corselet de l’ombre grise,Travail du Cuir, Armures en cuir,Épique,https://www.wowhead.com/mop-classic/fr/item= 85823
 82976, Gantelets de saccageur fantôme,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 82976
 83006, Calligraphie supérieure de croc de tigre,Fabriqué, Amélioration d'objet permanente,Épique,https://www.wowhead.com/mop-classic/fr/item= 83006
 83007, Calligraphie supérieure de griffe de tigre,Fabriqué, Amélioration d'objet permanente,Épique,https://www.wowhead.com/mop-classic/fr/item= 83007
 85824, Gants de l’ombre grise,Travail du Cuir, Armures en cuir,Épique,https://www.wowhead.com/mop-classic/fr/item= 85824
 85787, Corselet d’harmonie terrestre,Travail du Cuir, Armures en mailles,Épique,https://www.wowhead.com/mop-classic/fr/item= 85787
 82439, Robe de création,Couture, Armures en tissu,Épique,https://www.wowhead.com/mop-classic/fr/item= 82439
 82979, Cuirasse d’acier antique,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 82979
 85828, Gants de meurtrier,Travail du Cuir, Armures en cuir,Épique,https://www.wowhead.com/mop-classic/fr/item= 85828
 85826, Robe du gardien de la vie,Travail du Cuir, Armures en mailles,Épique,https://www.wowhead.com/mop-classic/fr/item= 85826
 85850, Gilet sang-sauvage,Travail du Cuir, Armures en cuir,Épique,https://www.wowhead.com/mop-classic/fr/item= 85850
 87407, Poings de guerre de forge-sang,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 87407
 82980, Gantelets d’acier antique,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 82980
 86313, Gants en soie impériale,Couture, Armures en tissu,Épique,https://www.wowhead.com/mop-classic/fr/item= 86313
 82440, Gants de création,Couture, Armures en tissu,Épique,https://www.wowhead.com/mop-classic/fr/item= 82440
 86312, Héritage de l’empereur,Couture, Armures en tissu,Épique,https://www.wowhead.com/mop-classic/fr/item= 86312
 85840, Corselet de Brise-tempête,Travail du Cuir, Armures en mailles,Épique,https://www.wowhead.com/mop-classic/fr/item= 85840
 85849, Gants sang-sauvage,Travail du Cuir, Armures en cuir,Épique,https://www.wowhead.com/mop-classic/fr/item= 85849
 85822, Gants d’harmonie terrestre,Travail du Cuir, Armures en mailles,Épique,https://www.wowhead.com/mop-classic/fr/item= 85822
 85825, Gants du gardien de la vie,Travail du Cuir, Armures en mailles,Épique,https://www.wowhead.com/mop-classic/fr/item= 85825
 85831, Gants du seigneur corbeau,Travail du Cuir, Armures en mailles,Épique,https://www.wowhead.com/mop-classic/fr/item= 85831
 85829, Robe flambenuit,Travail du Cuir, Armures en cuir,Épique,https://www.wowhead.com/mop-classic/fr/item= 85829
 87402, Harnois de bataille du maître ornée,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 87402
 86311, Robe du règne éternel,Couture, Armures en tissu,Épique,https://www.wowhead.com/mop-classic/fr/item= 86311
 86314, Toucher de la Lumière,Couture, Armures en tissu,Épique,https://www.wowhead.com/mop-classic/fr/item= 86314
 85827, Gants en cuir gravés de runes de vie,Travail du Cuir, Armures en cuir,Épique,https://www.wowhead.com/mop-classic/fr/item= 85827
 85788, Corselet de Némésis,Travail du Cuir, Armures en cuir,Épique,https://www.wowhead.com/mop-classic/fr/item= 85788
 85830, Grande tenue de sang et d’os,Travail du Cuir, Armures en mailles,Épique,https://www.wowhead.com/mop-classic/fr/item= 85830
 87560, Calligraphie supérieure de corne de buffle,Fabriqué, Amélioration d'objet permanente,Épique,https://www.wowhead.com/mop-classic/fr/item= 87560
 85821, Poings de foudre,Travail du Cuir, Armures en mailles,Épique,https://www.wowhead.com/mop-classic/fr/item= 85821
 87406, Gantelets d’ordre de combat,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 87406
 82978, Gantelets en acier vivant,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 82978
 82977, Cuirasse en acier vivant,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 82977
 87405, Plaques de sang inflexibles,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 87405
 94590, Réédition de Championne Cœur-de-lion,Forge, Épée à deux mains,Épique,https://www.wowhead.com/mop-classic/fr/item= 94590
 94592, Réédition de l’Exécutrice Cœur-de-lion,Forge, Épée à deux mains,Épique,https://www.wowhead.com/mop-classic/fr/item= 94592
 87403, Pansière de foi sans limite,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 87403
 87404, Gantelets de dévotion déliée,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 87404
 94584, Réédition de Gueule de dragon,Forge, Masse à une main,Épique,https://www.wowhead.com/mop-classic/fr/item= 94584
 94577, Réédition du Tranchant planaire noir,Forge, Hache à une main,Épique,https://www.wowhead.com/mop-classic/fr/item= 94577
 94585, Réédition de Frappe du dragon,Forge, Masse à une main,Épique,https://www.wowhead.com/mop-classic/fr/item= 94585
 94583, Réédition de Tonnerre-profond,Forge, Masse à deux mains,Épique,https://www.wowhead.com/mop-classic/fr/item= 94583
 94589, Réédition de Brasegarde,Forge, Épée à une main,Épique,https://www.wowhead.com/mop-classic/fr/item= 94589
 94578, Réédition de Tranchelune,Forge, Hache à deux mains,Épique,https://www.wowhead.com/mop-classic/fr/item= 94578
 94586, Réédition du Héraut de la tempête,Forge, Masse à deux mains,Épique,https://www.wowhead.com/mop-classic/fr/item= 94586
 94580, Réédition de Lune sanguine,Forge, Hache à deux mains,Épique,https://www.wowhead.com/mop-classic/fr/item= 94580
 94278, Capuche des fleurs fanées,Couture, Armures en tissu,Épique,https://www.wowhead.com/mop-classic/fr/item= 94278
 98612, Ceinture du ciel nocturne,Couture, Armures en tissu,Épique,https://www.wowhead.com/mop-classic/fr/item= 98612
 94591, Réédition de Brasefurie,Forge, Épée à une main,Épique,https://www.wowhead.com/mop-classic/fr/item= 94591
 98610, Ceinture de rôdeur krasari,Travail du Cuir, Armures en mailles,Épique,https://www.wowhead.com/mop-classic/fr/item= 98610
 94579, Réédition du Tranchant cruel des plans,Forge, Hache à une main,Épique,https://www.wowhead.com/mop-classic/fr/item= 94579
 94274, Casque de gardesprit,Travail du Cuir, Armures en cuir,Épique,https://www.wowhead.com/mop-classic/fr/item= 94274
 94270, Casque en peau de quilen,Travail du Cuir, Armures en cuir,Épique,https://www.wowhead.com/mop-classic/fr/item= 94270
 98600, Jambières de pouliot,Travail du Cuir, Armures en cuir,Épique,https://www.wowhead.com/mop-classic/fr/item= 98600
 94272, Casque de marcheffroi,Travail du Cuir, Armures en mailles,Épique,https://www.wowhead.com/mop-classic/fr/item= 94272
 98606, Garde-jambes en trillium du protecteur,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 98606
 98611, Ceinture en trillium bénie,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 98611
 98613, Ceinture de lys des neiges,Travail du Cuir, Armures en cuir,Épique,https://www.wowhead.com/mop-classic/fr/item= 98613
 98614, Ceinture du rôdeur de la gorge,Travail du Cuir, Armures en mailles,Épique,https://www.wowhead.com/mop-classic/fr/item= 98614
 98616, Plates de taille en trillium du vengeur,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 98616
 98602, Grèves en trillium bénies,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 98602
 94266, Grand heaume en acier hanté,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 94266
 94267, Bottes de guerre en acier hanté,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 94267
 94280, Chaperon des fleurs fanées,Couture, Armures en tissu,Épique,https://www.wowhead.com/mop-classic/fr/item= 94280
 94276, Casque de serpent-nuage,Travail du Cuir, Armures en mailles,Épique,https://www.wowhead.com/mop-classic/fr/item= 94276
 94277, Bottines des fleurs fanées,Couture, Armures en tissu,Épique,https://www.wowhead.com/mop-classic/fr/item= 94277
 98604, Braies de lys des neiges,Travail du Cuir, Armures en cuir,Épique,https://www.wowhead.com/mop-classic/fr/item= 98604
 98607, Cuissards en trillium du vengeur,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 98607
 98609, Ceinture de pouliot,Travail du Cuir, Armures en cuir,Épique,https://www.wowhead.com/mop-classic/fr/item= 98609
 94264, Bassinet en acier hanté,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 94264
 94268, Protège-front en acier hanté,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 94268
 94263, Grèves en acier hanté,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 94263
 94271, Solerets de marcheffroi,Travail du Cuir, Armures en mailles,Épique,https://www.wowhead.com/mop-classic/fr/item= 94271
 94273, Protège-tibias de gardesprit,Travail du Cuir, Armures en cuir,Épique,https://www.wowhead.com/mop-classic/fr/item= 94273
 94275, Solerets de serpent-nuage,Travail du Cuir, Armures en mailles,Épique,https://www.wowhead.com/mop-classic/fr/item= 94275
 94279, Sandales des fleurs fanées,Couture, Armures en tissu,Épique,https://www.wowhead.com/mop-classic/fr/item= 94279
 98603, Jambières du ciel nocturne,Couture, Armures en tissu,Épique,https://www.wowhead.com/mop-classic/fr/item= 98603
 98605, Cuissards du rôdeur de la gorge,Travail du Cuir, Armures en mailles,Épique,https://www.wowhead.com/mop-classic/fr/item= 98605
 94265, Bottines en acier hanté,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 94265
 98608, Ceinture du nuage blanc,Couture, Armures en tissu,Épique,https://www.wowhead.com/mop-classic/fr/item= 98608
 94269, Bottes en peau de quilen,Travail du Cuir, Armures en cuir,Épique,https://www.wowhead.com/mop-classic/fr/item= 94269
 98599, Jambières du nuage blanc,Couture, Armures en tissu,Épique,https://www.wowhead.com/mop-classic/fr/item= 98599
 98601, Braies de rôdeur krasari,Travail du Cuir, Armures en mailles,Épique,https://www.wowhead.com/mop-classic/fr/item= 98601
 98615, Sangle en trillium du protecteur,Forge, Armures en plaques,Épique,https://www.wowhead.com/mop-classic/fr/item= 98615
Qualité,Épique,Inconnu,Épique,Épique,https://www.wowhead.com/mop-classic/fr/item=Qualité
74724,Enchantement d’arme (Esprit de jade),Inconnu,Amélioration d'objet permanente,Rare,https://www.wowhead.com/mop-classic/fr/item=74724
 74726, Enchantement d’arme (Danse d’acier),Inconnu, Amélioration d'objet permanente,Rare,https://www.wowhead.com/mop-classic/fr/item= 74726
